,0
2097,234
2098,17
2099,423
2100,957
2101,6
2102,403
2103,232
2104,4
2105,158
2106,139
2107,29
2108,314
2109,50
2110,6
2111,203
2112,12
2113,151
2114,32
2115,139
2116,18
2117,45
2118,414
2119,13
2120,22
2121,7
2122,19
2123,39
2124,240
2125,5
2126,165
2127,122
2128,7
2129,236
2130,4
2131,3
2132,94
2133,269
2134,46
2135,244
2136,68
2137,417
2138,65
2139,220
2140,147
2141,36
2142,251
2143,11
2144,25
2145,21
2146,292
2147,71
2148,2
2149,242
2150,2
2151,1232
2152,105
2153,22
2154,53
2155,8
2156,309
2157,20
2158,23
2159,28
2160,85
2161,869
2162,72
2163,636
2164,85
2165,436
2166,34
2167,1
2168,32
2169,45
2170,7
2171,4
2172,2
2173,325
2174,2
2175,4
2176,125
2177,13
2178,273
2179,12
2180,19
2181,163
2182,141
2183,119
2184,5
2185,245
2186,24
2187,16
2188,339
2189,307
2190,29
2191,80
2192,154
2193,10
2194,107
2195,5
2196,3
2197,109
2198,8
2199,5
2200,4
2201,11
2202,225
2203,1
2204,1
2205,1
2206,29
2207,1
2208,2
2209,391
2210,121
2211,1
2212,299
2213,130
2214,71
2215,205
2216,324
2217,11
2218,5
2219,44
2220,97
2221,108
2222,1
2223,163
2224,10
2225,142
2226,123
2227,750
2228,225
2229,2
2230,58
2231,9
2232,9
2233,600
2234,187
2235,8
2236,42
2237,7
2238,4
2239,1
2240,373
2241,122
2242,937
2243,83
2244,193
2245,83
2246,232
2247,196
2248,806
2249,28
2250,25
2251,32
2252,26
2253,65
2254,173
2255,41
2256,25
2257,139
2258,195
2259,5
2260,108
2261,86
2262,254
2263,40
2264,355
2265,77
2266,19
2267,353
2268,42
2269,187
2270,83
2271,39
2272,7
2273,145
2274,17
2275,340
2276,1
2277,231
2278,37
2279,448
2280,32
2281,9
2282,6
2283,167
2284,55
2285,128
2286,13
2287,29
2288,180
2289,2
2290,119
2291,52
2292,5
2293,119
2294,31
2295,114
2296,49
2297,380
2298,2
2299,212
2300,57
2301,36
2302,35
2303,5
2304,82
2305,45
2306,118
2307,118
2308,51
2309,147
2310,168
2311,81
2312,149
2313,183
2314,102
2315,49
2316,120
2317,30
2318,385
2319,51
2320,533
2321,9
2322,623
2323,165
2324,71
2325,187
2326,44
2327,1
2328,65
2329,5
2330,355
2331,531
2332,71
2333,11
2334,184
2335,91
2336,47
2337,495
2338,16
2339,39
2340,353
2341,49
2342,44
2343,109
2344,317
2345,14
2346,63
2347,54
2348,32
2349,1
2350,45
2351,5
2352,5
2353,160
2354,228
2355,103
2356,97
2357,121
2358,130
2359,473
2360,28
2361,181
2362,52
2363,298
2364,40
2365,224
2366,6
2367,40
2368,260
2369,52
2370,210
2371,75
2372,23
2373,59
2374,99
2375,78
2376,1
2377,2
2378,342
2379,6
2380,61
2381,65
2382,453
2383,37
2384,9
2385,446
2386,1
2387,43
2388,66
2389,328
2390,5
2391,27
2392,94
2393,7
2394,193
2395,142
2396,30
2397,94
2398,245
2399,91
2400,503
2401,24
2402,111
2403,355
2404,281
2405,15
2406,10
2407,200
2408,63
2409,90
2410,2
2411,169
2412,228
2413,18
2414,76
2415,1
2416,160
2417,211
2418,99
2419,208
2420,158
2421,6
2422,64
2423,41
2424,26
2425,160
2426,21
2427,339
2428,181
2429,91
2430,114
2431,4
2432,224
2433,96
2434,68
2435,255
2436,118
2437,543
2438,206
2439,30
2440,1146
2441,28
2442,164
2443,16
2444,161
2445,522
2446,204
2447,109
2448,41
2449,1
2450,20
2451,16
2452,53
2453,9
2454,13
2455,19
2456,75
2457,244
2458,17
2459,220
2460,71
2461,28
2462,86
2463,91
2464,156
2465,131
2466,54
2467,35
2468,247
2469,60
2470,96
2471,83
2472,18
2473,91
2474,150
2475,3
2476,242
2477,117
2478,354
2479,109
2480,1
2481,2
2482,122
2483,31
2484,257
2485,186
2486,125
2487,292
2488,19
2489,1226
2490,96
2491,31
2492,687
2493,92
2494,61
2495,12
2496,84
2497,822
2498,33
2499,1
2500,372
2501,1
2502,148
2503,63
2504,373
2505,16
2506,247
2507,236
2508,21
2509,11
2510,171
2511,21
2512,58
2513,36
2514,32
2515,86
2516,409
2517,115
2518,298
2519,1
2520,2
2521,1
2522,414
2523,16
2524,237
2525,14
2526,526
2527,27
2528,162
2529,293
2530,4
2531,301
2532,30
2533,10
2534,8
2535,250
2536,6
2537,28
2538,130
2539,69
2540,66
2541,20
2542,30
2543,107
2544,1
2545,13
2546,239
2547,33
2548,46
2549,94
2550,163
2551,1
2552,31
2553,130
2554,1
2555,675
2556,27
2557,40
2558,170
2559,59
2560,172
2561,272
2562,107
2563,28
2564,2
2565,68
2566,10
2567,121
2568,29
2569,150
2570,4
2571,79
2572,121
2573,43
2574,20
2575,56
2576,212
2577,45
2578,5
2579,225
2580,6
2581,1
2582,2
2583,422
2584,59
2585,7
2586,67
2587,393
2588,446
2589,228
2590,39
2591,39
2592,64
2593,10
2594,848
2595,197
2596,40
2597,150
2598,5
2599,14
2600,131
2601,449
2602,215
2603,1
2604,10
2605,148
2606,32
2607,8
2608,31
2609,33
2610,123
2611,35
2612,51
2613,104
2614,526
2615,39
2616,542
2617,104
2618,266
2619,15
2620,46
2621,24
